Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
00:00.0,14970,15083.63,14600,14920.14,3434.498779,00:00.0,51210966.01,26622,2038.483715,30407212.01,0
00:00.0,14916.95,16350,14880,16090.69,4235.324762,00:00.0,66819024.04,41596,2387.404241,37654183.89,0
00:00.0,16090.7,16267.04,15750,16087.72,3780.801035,00:00.0,60557737.56,30152,2132.787917,34167025.6,0
00:00.0,16094.99,17118.13,16087.73,16593.01,4211.114828,00:00.0,69754690.58,37625,2320.289135,38419456.73,0
00:00.0,16594.14,17176.24,16353,16960.39,3964.777031,00:00.0,66553622.17,28923,2293.319489,38527729.77,0
00:00.0,16960.39,17099.99,16288,16521.59,4247.71364,00:00.0,71300832.31,34400,2509.11882,42154298.81,0
00:00.0,16521.57,16750,16300,16518,2163.980432,00:00.0,35720794.81,20311,1172.689566,19358726.8,0
00:00.0,16500.18,16750.01,16340,16529.89,2570.004863,00:00.0,42492715.02,22659,1541.60168,25487278.11,0
00:00.0,16505.16,16639,16011.21,16556.22,3636.953819,00:00.0,59537736.09,30652,2075.307389,33983021.77,0
00:00.0,16550.04,16982,16501.75,16770.01,3205.687621,00:00.0,53747378.22,26685,1896.256282,31806050.41,0
00:00.0,16770.01,17143.13,16612.18,17069.79,2747.117133,00:00.0,46417464.53,23535,1812.190319,30628393.17,0
00:00.0,17069.79,17099.96,16605.01,16740.68,3154.304603,00:00.0,53152017.67,22706,1903.842617,32083768.65,0
00:00.0,16727.93,16749.98,16400,16746.99,2773.563248,00:00.0,45988400.87,21693,1650.915944,27377873.03,0
00:00.0,16747,16886.75,16560.02,16607,1475.70652,00:00.0,24730103.14,14827,870.197224,14589002.33,0
00:00.0,16611,16649.05,16300,16439.65,1213.051465,00:00.0,19998964.56,16967,566.395544,9339340.82,0
00:00.0,16439.64,16474.87,15610,16100.9,2778.455183,00:00.0,44506716.35,30109,1306.006794,20932314.3,0
00:00.0,16100.9,16500,15872.07,16150.03,1098.044539,00:00.0,17818503.79,13967,481.962385,7828864.009,0
00:00.0,16218.85,16322.3,15514.99,15670.37,3174.144134,00:00.0,50445203.94,27921,1659.715913,26401093,0
00:00.0,15632.48,15921.68,15476,15865,3057.432567,00:00.0,48169601.26,24070,1923.531193,30320249.53,0
00:00.0,15864.99,15869.97,14551,15400,4903.911256,00:00.0,74266567.64,39774,2636.16105,39972411.5,0
00:00.0,15414,15499,12812,14299.98,8735.648961,00:00.0,124245731.5,59527,4106.26865,58681206.98,0
00:00.0,14297.9,15247.33,14238.32,15196.55,4144.274704,00:00.0,61207329.87,32357,2242.343779,33101520.58,0
00:00.0,15196.56,15270.99,14392.32,14902.54,2585.19829,00:00.0,38235562.9,24993,1188.823804,17573100.54,0
00:00.0,14902.54,15500,14701,15210,2267.730932,00:00.0,34341074.96,24158,1113.74842,16862113.87,0
00:00.0,15186.53,15397,14601,15062.28,2094.696764,00:00.0,31351055.73,21598,1038.300967,15533781.42,0
00:00.0,15062.28,15300,14170.33,14726,2553.318643,00:00.0,37480695.96,28515,1158.408512,16994327.93,0
00:00.0,14726,14829.98,14011.05,14654.96,3506.537695,00:00.0,50635997.87,34921,1697.96551,24505913.08,0
00:00.0,14655.01,14998.62,14585.01,14717.82,1558.961148,00:00.0,23133245.16,19315,851.341075,12631828.2,0
00:00.0,14717.82,14861.56,14125,14400,2333.759071,00:00.0,33688117.78,28149,981.468803,14170608.41,0
