Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
00:00.0,10230,10278,9700,10060,6311.051786,00:00.0,63008711.35,62524,2953.6878,29493582.56,0
00:00.0,10069.96,10347.52,9810,10280,3055.033733,00:00.0,30830144.99,38878,1513.489844,15284051.46,0
00:00.0,10280,10363,10060,10290.05,2726.342074,00:00.0,27880728.19,29591,1454.748576,14880898.45,0
00:00.0,10294.97,10425.85,9900,10017.47,2775.913219,00:00.0,28163905.65,30647,1270.937581,12902721.93,0
00:00.0,10017.51,10190,9860,10114.27,1885.808987,00:00.0,18933916.63,24405,954.034879,9582005.277,0
00:00.0,10114.36,10298,10090,10285.1,1261.807006,00:00.0,12826800.3,15377,635.685762,6466012.967,0
00:00.0,10285.1,10335,9959.04,10069.8,2404.804886,00:00.0,24575498.41,28470,1013.489359,10354810.52,0
00:00.0,10069.77,10275.47,10000.01,10063.75,1881.379695,00:00.0,19103285.53,23908,1009.02872,10248868.28,0
00:00.0,10063.75,10078.1,9500,9591.44,7404.796681,00:00.0,71916487.2,59520,3264.326624,31716776.75,0
00:00.0,9591.45,9665.58,9224,9339.87,6612.654639,00:00.0,62185130.58,59969,3010.528759,28329607.03,0
00:00.0,9326.23,9340,8900,8941.94,7404.965089,00:00.0,67400332.02,70693,3337.377262,30402073.54,0
00:00.0,8937.86,9560.01,8750.99,9224.52,7856.163321,00:00.0,72455612.25,73460,3795.253125,35078589.75,0
00:00.0,9224.52,9250,8734,8883.11,6149.74227,00:00.0,54858649.5,60439,2741.000126,24451305.05,0
00:00.0,8878.59,8925,8505,8673.11,6496.550044,00:00.0,56675046.52,58055,2739.695302,23922311.99,0
00:00.0,8673.11,8691.09,8250.92,8299.75,7575.510323,00:00.0,63867374.6,65102,3174.763248,26798417.85,0
00:00.0,8299.75,9120,8010.02,9070,17952.79337,00:00.0,154755836.3,139725,8647.584344,74827174.58,0
00:00.0,9070,9247.79,8501,8699.72,8118.463053,00:00.0,71861121.71,81964,4001.482955,35441502.48,0
00:00.0,8700,8967.45,8556.93,8873.03,3678.567911,00:00.0,32218455.09,48126,1808.977609,15852037.55,0
00:00.0,8873.03,8920,8233,8344.81,5058.529043,00:00.0,43141201.01,59440,2132.471862,18191773.4,0
00:00.0,8344.88,8788,8229,8708.82,4158.330198,00:00.0,35445953.47,52729,2096.761386,17917331.73,0
00:00.0,8708.82,9123,8579,9099.87,5096.724114,00:00.0,45279225.58,54862,2770.648331,24643157.01,0
00:00.0,9099.87,9459.6,8969,9173,7066.94034,00:00.0,65220064.59,71482,3725.955252,34398965.14,0
00:00.0,9173.01,9401,9055,9339.43,4005.86702,00:00.0,37028104.03,47785,1910.957261,17678721.86,0
00:00.0,9350,9473.01,9022,9199.96,3338.61002,00:00.0,30720180.39,41221,1546.044054,14238695.36,0
00:00.0,9199.96,9250,8901.01,9219.18,2810.29891,00:00.0,25530873.46,36301,1312.488467,11925038.3,0
00:00.0,9219.19,9368,9075.01,9200,2431.080396,00:00.0,22440446.4,32062,1145.18034,10578990.52,0
00:00.0,9200,9216,8687.45,8691.99,5322.600063,00:00.0,47314068.26,57493,2151.396199,19114530.84,0
00:00.0,8691.99,8894.12,8357.93,8419.96,7359.318385,00:00.0,63328607.71,76079,3296.056321,28411046.52,0
00:00.0,8419.96,8585,8180,8264.2,5737.008025,00:00.0,48087307.09,65170,2514.9659,21117346.2,0
00:00.0,8264.19,8474,7930,8184.81,8354.00267,00:00.0,68210985.49,89029,3385.208563,27737600.82,0
00:00.0,8179.99,8342.05,7910,8137.23,6227.667474,00:00.0,50533273.4,59920,2696.82849,21905303.67,0
00:00.0,8148.83,8382.8,7915.01,7965.01,4611.51149,00:00.0,37524656.77,51170,2128.716015,17357810.47,0
00:00.0,7965.01,8049.99,7510,7578,8595.768963,00:00.0,66911038.12,75264,4150.899758,32349156.96,0
00:00.0,7572.32,7788.87,7167,7384.85,12353.96073,00:00.0,92227523.26,97331,6046.855208,45164781.64,0
00:00.0,7375.49,7536.41,6625,6698.33,13593.16621,00:00.0,95894630.32,109286,6167.726143,43599733.79,0
00:00.0,6680.76,7543.99,6625,6939.99,18021.10771,00:00.0,128075096.8,140539,8666.332776,61645614.48,0
00:00.0,6939.63,7150,6155,6327.05,14648.9666,00:00.0,96100114.79,109497,6908.813658,45285601.6,0
00:00.0,6317.8,6655,6000.01,6043,18582.33537,00:00.0,116447918.8,139735,8816.662178,55375109.61,0
00:00.0,6040.98,6960,6019.24,6559,17286.57257,00:00.0,112101389.8,133217,8905.741816,57685234.62,0
00:00.0,6559,7462,6435.99,7290.61,21152.7404,00:00.0,148604721.3,159131,10563.41393,74231917.65,0
00:00.0,7299.99,7623.83,6781,7544.93,14178.224,00:00.0,101302646.7,122280,6960.894244,49824082.17,0
00:00.0,7543.18,7878,7425.67,7652.14,14352.66137,00:00.0,109807484.9,122136,7409.494971,56715687.76,0
00:00.0,7655.02,7770,7155,7200,10107.70538,00:00.0,75385862.58,83404,4621.078606,34519604.49,0
00:00.0,7200,7734.52,7150.01,7669.97,7528.66848,00:00.0,55846524.5,67352,3855.311426,28624674.25,0
00:00.0,7669.97,8274,7580.6,8151.53,12798.24604,00:00.0,102001698.7,106852,7065.087455,56382145.19,0
00:00.0,8138.05,8476,8036,8169,11365.76844,00:00.0,93597780.81,98569,5838.00238,48124805.12,0
00:00.0,8165,8399,7867,8130.81,8745.316193,00:00.0,70961959.07,82063,4477.623327,36302647.37,0
00:00.0,8130.81,8259.12,7531.11,7599,10232.75596,00:00.0,80141213.12,76653,4227.733072,33184097.04,0
00:00.0,7599,7844,7572.09,7784.02,1521.537318,28:14.8,11770168.04,12417,844.258813,6532638.638,0
00:00.0,7789.9,8395,7789.9,8280.11,3483.805239,00:00.0,28855369.39,29747,1605.745207,13286895.11,0
00:00.0,8288.03,8540,8201.95,8333.91,6043.02653,00:00.0,50568445.19,66291,2990.73421,25041880.06,0
00:00.0,8333.98,8738,8312,8633.15,5944.072439,00:00.0,50934854.46,90769,3248.312583,27828262.46,0
00:00.0,8638.05,8720.04,8403,8683.92,5012.006617,00:00.0,42989800.77,86284,2559.248792,21960524.5,0
00:00.0,8683.93,8997,8601,8905.84,7993.502755,00:00.0,70767239.1,89702,4366.432862,38662938.67,0
